recipe_id,url,doi,source_Bi,source_Bi_amount,source_Fe,source_Fe_amount,bi_fe_ratio,separate_hydrolysis,solvent1,solvent1_amount_ml,solvent2,solvent2_amount_ml,solv1_solv2_ratio,chelating_agent1,chelating_agent1_amount_ml,chelating_agent2,chelating_agent2_amount_ml,chelating_agent3,chelating_agent3_amount_ml,solv_chel_ratio,dehydrating_agent1,dehydrating_agent1_amount_ml,dehydrating_agent2,dehydrating_agent2_amount,solv_dehydr_ratio,surfactant,surfactant_amount,solv_surfactant_ratio,precursor_concentration,pH,substrate,subtrate_orientation,stirring_time_hr,stirring_temp_degC,age_days,age_temp_degC,low_coating_time_sec,low_coating_rpm,high_coating_time_sec,high_coating_rpm,dry_time_min,dry_degC,layer_prebake_time_min,layer_prebake_degC,layer_annealing_time_min,layer_annealing_degC,layers,final_prebake_time_min,final_prebake_degC,final_annealing_time_hr,final_annealing_degC,atmosphere,reported_impurities,space_group,main_XRD_peaks,thin_film_thickness_nm,Bi(NO3)3-5H2O,Fe(NO3)3-9H2O,Bi2O3,Bi_acetate,Fe_acetate,Fe_acetylacetonate,Fe_pentanedionate,Fe_citrate,separate_hydrolysis,2-methoxyethanol,ethylene_glycol,poly_EG,methylethylene_glycol,trimethylene_glycol,acetic_acid,glacial_acetic_acid,nitric_acid,citric_acid,acetic_anhydride,EG_acetic_ratio,ethanol,ethanolamine,diethanolamine,ethylenediamine,acetone,acetylacetone,ammonium_hydroxide,PEO-PPO-PEO,PVP,DMF,formamide,water,blank,validation_KC,validation_VB,Validation_Notes,Extraction_Notes,
11,,10.1007/s10854-014-2639-y,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.1,,2_methoxyethanol,,,,,acetic_acid,,,,,,,acetic_acid_glacial,,,,,,,,0.2,1.5,glass/ITO,,,,,,,,40,3000,,,5,300,,,4,,,1,550,air,[],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,,300 5min prebake; coating/prebake repeated 4 times,
12,,10.1007/s10854-014-2639-y,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.1,,2_methoxyethanol,,,,,acetic_acid,,,,,,,acetic_acid_glacial,,,,,,,,0.2,1.5,glass/ITO,,,,,,,,40,3000,,,5,300,,,4,,,1,500,air,[],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,,300 5min prebake; coating/prebake repeated 4 times,
13,https://www.proquest.com/docview/1711184059/fulltextPDF/8B5E4275A2774CC8PQ/1?accountid=14496,10.1007/s10854-015-3371-y,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.05,,2_methoxyethanol,,,,,,,,,,,,acetic_anhydride,,,,3,,,,0.3,,glass/FTO,,1.5,25,1,25,,,15,4000,,,6,200,10,550,several,,,,,air,[],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,,"Sr, Mn doping; impurity discrepancy",
14,https://link.springer.com/article/10.1007/s10854-015-3690-z,10.1007/s10854-015-3690-z,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.1,,2_methoxyethanol,,,,,acetic_acid,,citric_acid,,,,2,acetic_anhydride,,,,,ethanolamine,,,0.3,,Pt/Ti/SiO2/Si,,0.5,20,2,25,,,20,3000,,,,,15,600,5,,,,,O2,[],R3m,"(010), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,completed,,"no pre-bake, RT aging for 48 hrs; coating/annealing repeated 5 times",
15,,10.1007/s10854-015-3690-z,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.1,,2_methoxyethanol,,,,,acetic_acid,,citric_acid,,,,2,acetic_anhydride,,,,,ethanolamine,,,0.3,,Pt/Ti/SiO2/Si,,0.5,20,2,25,,,20,3000,,,,,15,550,5,,,,,O2,['Bi25FeO40'],R3m,"(010), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,completed,,"no pre-bake, RT aging for 48 hrs; coating/annealing repeated 5 times",
16,https://link.springer.com/article/10.1007/s10854-015-3693-9,10.1007/s10854-015-3693-9,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1,,,,ethylene_glycol,,,acetic_acid,,acetylacetone,,,,,,,acetic_acid_glacial,,,,,,0.3,,glass/ITO,,,,,,,,30,4000,3,250,3,350,5,525,15,,,,,air,[],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,completed,,,
17,,10.1007/s10854-015-3693-9,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.05,,,,ethylene_glycol,,,acetic_acid,,acetylacetone,,,,,,,acetic_acid_glacial,,,,,,0.3,,glass/ITO,,,,,,,,30,4000,3,250,3,350,5,525,15,,,,,air,[],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,completed,,,
18,,10.1007/s10854-015-3693-9,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.1,,,,ethylene_glycol,,,acetic_acid,,acetylacetone,,,,,,,acetic_acid_glacial,,,,,,0.3,,glass/ITO,,,,,,,,30,4000,3,250,3,350,5,525,15,,,,,air,[],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,completed,,,
19,,10.1007/s10854-015-3693-9,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.15,,,,ethylene_glycol,,,acetic_acid,,acetylacetone,,,,,,,acetic_acid_glacial,,,,,,0.3,,glass/ITO,,,,,,,,30,4000,3,250,3,350,5,525,15,,,,,air,['Bi2O3'],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,completed,,,
20,,10.1007/s10854-015-3693-9,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.3,,,,ethylene_glycol,,,acetic_acid,,acetylacetone,,,,,,,acetic_acid_glacial,,,,,,0.3,,glass/ITO,,,,,,,,30,4000,3,250,3,350,5,525,15,,,,,air,['Bi2O3'],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,completed,,,
21,https://link.springer.com/article/10.1007/s10854-016-4972-9,10.1007/s10854-016-4972-9,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,,,,,ethylene_glycol,,,citric_acid,,,,,,4,,,,,,,,,,,Pt/Ti/SiO2/Si,,,100,,,,,30,5000,,,60,300,120,500,10,,,,,air,[],R3c,"(101), (110), (021)",,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,,"stirred at 90C, then at 100C when adding EG when coating/prefire/anneal repeated 10 times",
22,https://link.springer.com/content/pdf/10.1007/s10854-016-6229-z.pdf,10.1007/s10854-016-6229-z,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,,,2_methoxyethanol,,,,,citric_acid,,,,,,,,,,,,,,,,,glass/ITO,,3,25,,,,,20,3000,,,5,350,30,550,several,,,,,air,[],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,,"stirred first at 80C for 30 min with CA, then added MOE and stirred for 180min at RT (took weighted ave. for temp???); Mn, Ni doping; repeated ""several times"" ",
23,https://link.springer.com/article/10.1007/s10854-018-00572-7,10.1007/s10854-018-00572-7,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1,,,,ethylene_glycol,30,,,,,,,,,,,,,,,,,,,Si,,10,25,1,,3,1000,20,4000,,,,350,,,8,,,1,500,air,[],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,,two stages adding EG; Ho doping; coating/prefiring repeated 8 times; no explicit impurity discussion,
24,https://link.springer.com/article/10.1007/s10854-018-9355-y,10.1007/s10854-018-9355-y,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.05,,2_methoxyethanol,,,,,,,,,,,,acetic_anhydride,,,,3,,,,0.3,,glass/FTO,,2,25,,,,,15,4000,10,200,,,10,550,13,,,,,air,[],R3m,"(110),",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,,"Ho, Sr, Mn, Zn doping; coat/prebake/anneal repeated 13 times; substrate impurities (imight be Fe-rich phase?)",
25,https://link.springer.com/article/10.1007/s10971-008-1773-5,10.1007/s10971-008-1773-5,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.05,,2_methoxyethanol,15,,,,,,,,,,,acetic_anhydride,10,,,,,,,0.3,,Pt/Ti/SiO2/Si,,1,25,,,,,,4000,,,,,,,20,,,,500,O2,[],,"(010), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,rhombohedral. Was the annealing repeated?,coating and annealing repeated 20 times,
26,https://link.springer.com/article/10.1007/s10971-018-4862-0,10.1007/s10971-018-4862-0,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,,,2_methoxyethanol,,,,,acetic_acid,,,,,,,,,,,,,,,,,glass/FTO,,3.5,25,,,9,600,30,4000,,,2,200,5,550,several,,,0.5,550,air,[],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,,"AA first (0.5hr) then MOE (3 hr); Gd, Ni doping; pre-annealing in air, but crystallization atmosphere not specified; coat/prefire/anneal repeated ""several"" times; final annealing time given",
27,https://www.sciencedirect.com/science/article/pii/S0169433217324182?casa_token=29W5aKu_SAcAAAAA:Qjo9HngC6FbiHxkjG26myltbaozNC0hGSbWyS52QCzQow6c3Qre-rj2teYcZ-NIBrx7kcGbqIV4,10.1016/j.apsusc.2017.08.083,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.05,,,,ethylene_glycol,,,,,,,,,,,,,,,,,,0.2,4.6,Si,,2,25,,,3,1000,30,4000,,,6,360,,,8,,,1,500,air,[],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,"Considering the ""layer annealing"" as a prebake step since its temperature functions as such ","La, Ho, Er doping; coating/prebake repeated 8 times",
28,https://www.sciencedirect.com/science/article/pii/S0272884213015447?casa_token=KbFuq7Nz7jcAAAAA:3_mgzysGMlkvIMmKRv-kvC5Wo-4YjA8qoOs658Z9I4de1zBYipqyhNAJ1HM6ZQ_bKll0tC0nncc,10.1016/j.ceramint.2013.11.089,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.05,,2_methoxyethanol,,,,,,,,,,,3,acetic_anhydride,,,,,,,,0.3,,glass/FTO,,2,25,,,,,15,4000,5,250,,,,550,15,,,,,air,[],,"(010), (104), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,"they say only ""rhombohedral"", but from fig 1b seems like it is R3c",Tb doping; coat/prebake/anneal repeated 15 times; substrate impurities,
29,https://www.sciencedirect.com/science/article/pii/S0925838820312202?casa_token=-ujIStJFp0EAAAAA:8zsRDKo3IB7xfhmP4rQMEQMtRjOtzQ5ybZd_TxHKDRRACCX4qkSWsR_TmRh6CMkDJf_kmBqkkwI,10.1016/j.jallcom.2020.154857,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.05,,2_methoxyethanol,,,,,acetic_acid,,,,,,1.5,,,,,,,,,0.3,,glass/FTO,,3,85,,,,,60,3000,,,10,250,,,5,,,0.166666667,600,air,[],R3c,"(012), (104), (110)",200,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,,Ni doping; impurity appears with higher Ni doping; coat/prebake repeated 5 times,
30,https://www.sciencedirect.com/science/article/pii/S0304885313006148?casa_token=smtWf3ZLuQ4AAAAA:agLAy0kJyR7m4fObToCyvtoe9PFfooyPx5-gW9ygcXQlhuJwf9Y869n9bHYmdAEScGm58a7-inM,10.1016/j.jmmm.2013.08.049,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.1,,2_methoxyethanol,,,,,acetic_acid,,,,,,,acetic_anhydride,,acetic_acid_glacial,,,ethanolamine,,,0.3,,Au/Ti/SiO2/Si,,0.5,25,,,,,20,4000,,,3,350,,,15,,,1,600,air,[],,"(012), (104), (110)",1000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,completed,perovskite structure,Ni composite; coat/prebake repeated 15 times,
31,https://www.sciencedirect.com/science/article/pii/S0167577X1400826X?casa_token=wF31Tt6mbJ4AAAAA:t52PiWmpRFzcDTrDTMC7sx0u4Unm9Qjjmy40-KKja-h8FXWhK43y3g9SFc27G34jPIj_7EsGEsA,10.1016/j.matlet.2014.05.046,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.1,,,,ethylene_glycol,,,,,,,,,,,,,,,,,,,,Pt/Ti/SiO2/Si,,,,,,,,,,3,280,,,,,,,,0.083333333,550,O2,[],R3c,"(012), (104), (110)",,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,,Ho doping ,
32,https://www.sciencedirect.com/science/article/pii/S1369800115300044?casa_token=V68H5BvQ7D0AAAAA:qRH_xwMjOuzpO8a1KdRcpmCVHD3-kArhmxeOxoF5zv0IJ6xgrQ-mXhsGwXMsAV0lqTP1bO7YL-0,10.1016/j.mssp.2015.06.090,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,,,,,ethylene_glycol,,,,,,,,,,,,,,,,,,,,Si/ITO,,2,25,,,3,1000,20,4000,,,6,350,,,several,,,1,500,air,[],R3c,"(101), (110)",,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,,"Ho doping; coating/prefiring repeated ""several times"", impurities in doped samples",
33,https://www.sciencedirect.com/science/article/pii/S2211285516304669?casa_token=YUINfkfnMWAAAAAA:G4Q2wOEXhp1t6f6-piZAz0QpIdsag7S3wuF1doOi61tSUk-12wvSCBn6T6DfY6Tch7m7V9Iqf2M,10.1016/j.nanoen.2016.10.048,bi_nitrate_pentahydrate,0.85 g,fe_nitrate_nonahydrate,0.8 g,1.09,,,,ethylene_glycol,0.06,,citric_acid,0.009,,,,,7,,,,,,,,,,,BVO/FTO,,,90,,,,,60,2300,,,,,,,,,,0.5,500,air,[],,"(100), (110)",500,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,perovskite pseudocubic structure,bi-fe ratio calculated from mass; on BVO electrode,
34,https://www.sciencedirect.com/science/article/pii/S0040609012011297?casa_token=0ShVzVHg9nsAAAAA:vpdr87DQJD_B-eBOP1-ZDhtADzo0_8z4NoPAvZrkqgzpYonCY4AZwKPA2-hWA4j56jkZS_Agl0s,10.1016/j.tsf.2012.09.015,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1,,2_methoxyethanol,,,,,acetic_acid,,,,,,,acetic_acid_glacial,,,,,,,,,1.5,glass,,1,30,,,,,20,3000,,,10,250,,,several,,,2,500,air,[],,"(101), (012), (110)",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,perovskite rhombohedral structure,"two mixing/heating steps, averaged between tempscoat/prebake repeated ",
35,,10.1016/j.tsf.2012.09.015,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1,,2_methoxyethanol,,,,,acetic_acid,,,,,,,acetic_acid_glacial,,,,,,,,,1.5,glass,,1,30,,,,,20,3000,,,10,250,,,several,,,2,450,air,[],,"(101),",,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,perovskite rhombohedral structure,coat/prebake repeated ,
36,,10.1016/j.tsf.2012.09.015,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1,,2_methoxyethanol,,,,,acetic_acid,,,,,,,acetic_acid_glacial,,,,,,,,,1.5,glass,,1,30,,,,,20,3000,,,10,250,,,several,,,2,400,air,"['Bi2Fe4O9', 'Bi46Fe2O72', 'Bi24Fe2O39']",,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,perovskite rhombohedral structure,coat/prebake repeated ,
37,,10.1016/j.tsf.2012.09.015,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1,,2_methoxyethanol,,,,,acetic_acid,,,,,,,acetic_acid_glacial,,,,,,,,,1.5,glass,,1,30,,,,,20,3000,,,10,250,,,several,,,2,300,air,['amorphous'],,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,completed,perovskite rhombohedral structure,coat/prebake repeated ,
38,https://www.sciencedirect.com/science/article/pii/S0040609013011784?casa_token=FgvJwdtOOIwAAAAA:lLAdZ0GMDgZz2lQ9HLSzZ8h1KXgxBoU_zXaT1Z_waJOwWm9nyr7MFHckRFoJVhvCr2KY_H1VaIM,10.1016/j.tsf.2013.07.004,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1,,,,,,,acetic_acid,,acetylacetone,,,,,,,,,,,,,0.2,,glass,,,,,,,,,,,180,3,380,,,5,,,0.166666667,500,air,"['amorphous', 'Bi2O3']",,,200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,completed,RTA,coat/prebake repeated 5 times; good analysis on thermodynamic stability of 550-annealed sample,
39,,10.1016/j.tsf.2013.07.004,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.05,,,,,,,acetic_acid,,acetylacetone,,,,,,,,,,,,,0.2,,glass,,,,,,,,,,,180,3,380,,,5,,,0.166666667,500,air,['Bi2O3'],R3c,"(012), (104), (110)",200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,completed,RTA,coat/prebake repeated 5 times; good analysis on thermodynamic stability of 550-annealed sample,
40,,10.1016/j.tsf.2013.07.004,bi_nitrate_pentahydrate,,fe_nitrate_nonahydrate,,1.1,,,,,,,acetic_acid,,acetylacetone,,,,,,,,,,,,,0.2,,glass,,,,,,,,,,,180,3,380,,,5,,,0.166666667,500,air,[],R3c,"(012), (104), (110)",200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,completed,RTA,coat/prebake repeated 5 times; good analysis on thermodynamic stability of 550-annealed sample,
